name,zipcode,lat,long
34 St - Herald Sq Subway Station,"New York, NY 10001",40.74964456009442,-73.9879368338264
1 Avenue Station,"New York, NY 10009",40.73097497580066,-73.98168087489128
Times Sq-42 St Subway Station,"New York, NY 10036",40.755983000570076,-73.98622899953202
Metropolitan Av Station,"Brooklyn, NY 11211",40.71277400073426,-73.9514239994525
Graham Av,"Brooklyn, NY 11211",40.71157600064823,-73.94049699874644
Graham Av,"Brooklyn, NY 11211",40.714575998363635,-73.94394399869037
Bedford Av Station,"Bedford Ave, Brooklyn, NY 11211",40.71717399858899,-73.95666499806525
Montrose Avenue Station,"Brooklyn, NY 11206",40.70739106438455,-73.93979284713505
Court Square,"Queens, NY 11101",40.74630503357145,-73.94381559597835
21 Street-Van Alst Station,"Queens, NY 11101",40.7441286664954,-73.9495999997552
39 Avenue Station,"Queens, NY 11101",40.75276306140845,-73.93285137679598
145 St,"New York, NY 10031",40.82655099962194,-73.95035999879713
157 Street Station,"New York, NY 10032",40.8340410001399,-73.94488999901047
96 St,"New York, NY 10025",40.79391900121471,-73.97232299915696
103 St,"New York, NY 10025",40.799446000334825,-73.96837899960818
110 Street Station - Central Park North,"New York, NY 10026",40.79907499977324,-73.95182200176913
103 St Station,"New York, NY 10025",40.796060739904526,-73.96137008267617
72 Street / Broadway,"New York, NY 10023",40.77845300068614,-73.98197000159583
81 Street-Museum of Natural History Station,"New York, NY 10024",40.78134608418206,-73.97209794937208
75 Av,"Queens, NY 11375",40.71804465348743,-73.83692369387158
86 Street Station,"New York, NY 10024",40.78582304678557,-73.96882849429672
Cathedral Parkway 110 Street Station,"New York, NY 10025",40.80396699961484,-73.9668470005456
116 Street Station - Columbia University,"New York, NY 10027",40.807722001230864,-73.96410999757751
125 Street Station,"New York, NY 10027",40.807753999182815,-73.94549500011411
135 St,"New York, NY 10030",40.8142290003391,-73.94077000106708
116th Street Station,"New York, NY 10026",40.802097999133004,-73.94962500096905
Tremont Av,"Bronx, NY 10453",40.850409999510234,-73.90522700122354
137 St - City College,"New York, NY 10031",40.82200799968475,-73.95367600087873
145 St,"New York, NY 10039",40.82042099969279,-73.93624499873299
176 St / Jerome Av,"Bronx, NY 10453",40.8484800012369,-73.91179399884471
Burnside Av Station,"Bronx, NY 10453",40.85345300155693,-73.9076840015997
170 Street Station,"Grand Concourse, Bronx, NY 10452",40.83930599964156,-73.91339999846983
168 Street Station,"New York, NY 10032",40.840555999148535,-73.94013299907257
181 Street Station,"New York, NY 10033",40.84950499974065,-73.9335959996056
191 Street Subway Station,"New York, NY 10040",40.85522500175836,-73.92941199742039
175 Street Station,"807 W 177th St, New York, NY 10033",40.84739100072403,-73.93970399761596
Beach 44 St Station / Frank Avenue,"Queens, NY 11691",40.59294299908617,-73.77601299999507
Beach 60 St Station - Straiton Avenue,"Queens, NY 11692",40.59237400121235,-73.7885219980118
Beach 98 Street - Playland,"Queens, NY 11694",40.58538569133279,-73.82052058959523
Rockaway Park Station - Beach 116 Street,"Queens, NY 11694",40.580955865573515,-73.83559008701239
Beach 36 Street - Edgemere Station,"Queens, NY 11691",40.59539800166876,-73.76817499939688
Beach 25 Street Wavecrest Station,"Manhattan, NY 11691",40.60006600105881,-73.76135299762073
Parsons Blvd,"Queens, NY 11432",40.707571999615695,-73.80328900021885
169 Street Station,"Queens, NY 11432",40.710517502784,-73.79347419927721
103 St-Corona Plaza Station,"Queens, NY 11368",40.749865000555545,-73.86269999830412
111 St,"Queens, NY 11368",40.75172999941711,-73.85533399834884
63 Drive-Rego Park Subway Station,"Queens, NY 11374",40.729763972422425,-73.86161820097203
Grant Avenue Subway Station,"Brooklyn, NY 11208",40.67704400054478,-73.86504999877702
79 Street Station,"New York, NY 10024",40.78393399959032,-73.97991700056134
Atlantic Av Station,"Brooklyn, NY 11207",40.67534466640805,-73.9030969995401
Christopher St Station,"New York, NY 10014",40.73342200104225,-74.00290599855235
Lefferts Blvd Station,"Queens, NY 11419",40.68595099878361,-73.82579799906613
Times Sq - 42 St,"New York, NY 10036",40.755477001982506,-73.98769099825152
West 8 Street-New York Aquarium,"Brooklyn, NY 11224",40.576033818103646,-73.97595787413822
28 Street Station,"New York, NY 10001",40.74721499918219,-73.99336500134324
28 Street Subway Station,"New York, NY 10016",40.743069999259035,-73.98426400110407
Pelham Bay Park,"Bronx, NY 10461",40.85246199951662,-73.82812100059289
Westchester Sq - E Tremont Av,"Bronx, NY 10461",40.839892001013915,-73.84295199925012
18 Street Station,"New York, NY 10011",40.741039999802105,-73.99787100060406
Grand Central-42 Street Station,"New York, NY 10017",40.751431000286864,-73.97604100111508
Beach 67 St Station Arverne By The Sea,"Queens, NY 11692",40.59092700078133,-73.7969239998421
West 4 St-Washington Sq Sta,"O, NY 10012",40.73233799774325,-74.00049500225435
85 Street - Forest Parkway Station,"Queens, NY 11421",40.69242699966103,-73.86008700006875
Woodhaven Blvd,"Queens, NY 11421",40.69370399880105,-73.85205199740794
111 Street Station,"Queens, NY 11418",40.697114810696476,-73.83679338454697
121 Street,"Queens, NY 11418",40.700481998515315,-73.82834900017954
Halsey St Station,"Brooklyn, NY 11237",40.69551800114878,-73.90393400118631
Myrtle-Wyckoff Avenues Subway Station,"Brooklyn, NY 11237",40.699471062427136,-73.9109757182647
New Lots Avenue Station,"Brooklyn, NY 11207",40.6663149325969,-73.88411070800329
Van Siclen Av Station,"Brooklyn, NY 11207",40.67270999906104,-73.8903580002471
Cleveland St,"Brooklyn, NY 11208",40.679777998961164,-73.8851940021643
Livonia Av,"Brooklyn, NY 11212",40.66405727094644,-73.90056237226057
Junius St,"Brooklyn, NY 11212",40.66358900181724,-73.90244864183562
Rockaway Ave,"Brooklyn, NY 11224",40.66261748815223,-73.90895833584449
Canarsie-Rockaway Pkwy,"Brooklyn, NY 11236",40.64665366739528,-73.90185000017287
E 105 St,"Brooklyn, NY 11236",40.65046878544699,-73.89954769388724
Saratoga Av,"Brooklyn, NY 11212",40.6615297898075,-73.91633025007947
Sutter Av - Rutland Rd,"Rutland Road & E 98th St, Brooklyn, NY",40.66476678877493,-73.92252118536001
New Lots Av,"Brooklyn, NY 11212",40.65891477368527,-73.89927796057142
Broadway Junction,"Brooklyn, NY 11207",40.67936600147369,-73.90428999746412
Alabama Av,"Brooklyn, NY 11207",40.676998000003756,-73.89852600159652
Shepherd Avenue Station,"Brooklyn, NY 11208",40.6741300014559,-73.88074999747269
Crescent St,"Brooklyn, NY 11208",40.68315265707736,-73.87392925215778
Cypress Hills,"Brooklyn, NY 11208",40.689616000838754,-73.87332199882995
75 St-Elderts Lane Station,"Woodhaven, NY 11421",40.691290001246735,-73.86728799944963
69 St-Fisk Av Station,"Queens, NY 11377",40.746324999410284,-73.8964029993185
Roosevelt Av - Jackson Heights Subway Station,"Roosevelt Ave &, 74th Street, New York, 11372",40.746867573829114,-73.8912051289911
Woodhaven Blvd,"Queens, NY 11373",40.73309737380972,-73.86943208612348
Myrtle-Wyckoff Avenues Subway Station,"Brooklyn, NY 11237",40.69945400090837,-73.91217899939602
Seneca Av,"Queens, NY 11385",40.70291899894902,-73.90758199885423
DeKalb Av,"Brooklyn, NY 11237",40.70369299961644,-73.91823200219723
52 Street - Lincoln Av Station,"Queens, NY 11377",40.744149001021576,-73.91254899891254
46 Street Station,"Queens, NY 11103",40.756316952608096,-73.91352174995538
Northern Blvd Station,"Queens, NY 11377",40.752824829236076,-73.90606508052358
46 St-Bliss St Station,"Queens, NY 11104",40.74313200060382,-73.91843500103973
82 Street Station,"Queens, NY 11372",40.747658999559135,-73.88369700071884
90 St - Elmhurst Av,"Queens, NY 11372",40.74840800060913,-73.87661299986985
Howard Beach - JFK Subway Station,"Queens, NY 11414",40.66047600004959,-73.83030100071032
Aqueduct North Conduit Av.,"Queens, NY 11417",40.668234001699815,-73.83405799948723
Briarwood Subway Station,"&, Queens Blvd &, Main St, New York, 11435",40.70916181536946,-73.82069263637443
Forest Hills - 71 Av,"Queens, NY 11375",40.72159430953587,-73.84451672012669
Sutphin Blvd,"Queens, NY 11435",40.70541799906764,-73.81083299897232
Jamaica Center - Parsons/Archer,"Queens, NY 11432",40.70206737621188,-73.80109632298924
225 Street Station,"Bronx, NY 10466",40.88802825863786,-73.86021461772737
Elder Av,"Elder Ave & Westchester Avenue, Bronx, NY 10472",40.82858400108929,-73.87915899874777
Longwood Av Station,"Bronx, NY 10455",40.816103999972405,-73.89643499897414
Astoria Blvd Station,"Queens, NY 11102",40.77003699949086,-73.91809500109238
Ditmars Blvd Station,"Queens, NY 11105",40.775035666523664,-73.9120340001031
Jackson Avenue Station,"Bronx, NY 10455",40.81643746686396,-73.9077019387083
Prospect Av,"Bronx, NY 10455",40.81948726483844,-73.90177778730917
Cypress Av,"Bronx, NY 10454",40.8053680007636,-73.91404199994753
174 Street Station,"Bronx, NY 10460",40.837195550170605,-73.88769359812888
Allerton Av,"Bronx, NY 10467",40.86548337793927,-73.86723422851625
E 143 St Station,"Bronx, NY 10454",40.80871900090143,-73.90765699936489
Kingsbridge Rd Station,"Bronx, NY 10468",40.867760000885795,-73.89717400101743
Bedford Park Blvd Station,"Bronx, NY 10468",40.87341199980121,-73.89006400069478
148th Street Lenox Terminal Station,"New York, NY 10039",40.82388000080457,-73.93647000005559
Mt Eden Av Station,"Bronx, NY 10452",40.84443400092679,-73.9146849986034
Fordham Road Station,"Bronx, NY 10458",40.861295998683495,-73.89774900102401
170 Street Station,"Bronx, NY 10452",40.84007499993004,-73.91779099745928
Bedford Park Blvd Station,"Bronx, NY 10468",40.87324399861646,-73.88713799889574
Marble Hill - 225 St,"New York, NY 10034",40.87456099941789,-73.90983099923551
231 St,"Bronx, NY 10463",40.87885599817935,-73.90483400107873
215 Street Station,"New York, NY 10034",40.86944399946045,-73.91527899954356
207 St Station,"New York, NY 10034",40.864614000525854,-73.91881900132312
Dyckman Street Subway Station,"New York, NY 10040",40.86807199999737,-73.91989900100465
Van Cortlandt Park - 242 St,"Bronx, NY 10471",40.88924800011476,-73.89858300049647
West Farms Square - E Tremont Av Station,"Bronx, NY 10460",40.84020763241799,-73.87996127877184
219 Street Station,"Bronx, NY 10467",40.883887974625274,-73.8625097078866
Mosholu Pkwy,"Bronx, NY 10467",40.87974999947229,-73.88465499988732
205 Street Station,"Bronx, NY 10467",40.87481100011182,-73.87885499918691
Burke Av Station,"Bronx, NY 10467",40.87125880254771,-73.86705361747603
Baychester Av,"Bronx, NY 10469",40.87866300037311,-73.83859099802153
Eastchester - Dyre Av,"Bronx, NY 10466",40.88829999901007,-73.8308340021742
Jamaica-179 St,"Queens, NY 11432",40.712645666744045,-73.78381700176453
241 Street Station,"Bronx, NY 10470",40.903125000541245,-73.8506199987954
Botanic Garden,"Brooklyn, NY 11225",40.670342666584396,-73.95924499945693
Bushwick Av-Aberdeen St,"Brooklyn, NY 11207",40.68286062551184,-73.90526176305106
Broadway Junction,"Brooklyn, NY 11207",40.67845624842869,-73.90311757920684
Gun Hill Road Station,"Bronx, NY 10469",40.86952599962676,-73.84638400151765
E 180 Street,"Bronx, NY 10460",40.8418630412186,-73.87334609510884
Dyckman Street Subway Station,"New York, NY 10040",40.86053100138796,-73.92553600006474
125 St,"New York, NY 10027",40.815580999978934,-73.95837200097044
Franklin Av Station,"Brooklyn, NY 11238",40.68059566598263,-73.95582700110425
149 St - Grand Concourse,"Bronx, NY 10451",40.81833014409742,-73.92672247438611
3 Av - 149 St,"Bronx, NY 10455",40.816029252510006,-73.91779152760981
167 Street Station,"Bronx, NY 10452",40.83553699933672,-73.92139999784426
Brook Av,"Bronx, NY 10454",40.80756599987699,-73.91923999909432
33 St- Rawson St,"Queens, NY 11101",40.74458699983993,-73.93099699953838
40 St - Lowery St Station,"Queens, NY 11104",40.74378100149132,-73.9240159984882
145 Street Station,"New York, NY 10031",40.824766360871905,-73.94408792823116
155 St,"New York, NY 10039",40.8301349999812,-73.93820899811622
161 St - Yankee Stadium,"East 161st St, Bronx, NY 10451",40.827904998845845,-73.92565099775477
Utica Av,"Fulton St, Brooklyn, NY 11233",40.67936399950546,-73.93072899914027
