,index,name,zipcode,lat,long,Geography,Median income (dollars); Estimate; Households
93,134,UTICA AVENUE SUBWAY STATION, 11213,40.66897831107809,-73.93293256081851,ZCTA5 10004,140450.0
92,242,AQUEDUCT NORTH CONDUIT AV., 11417,40.668234001699815,-73.83405799948724,ZCTA5 10004,140450.0
91,454,PRESIDENT STREET STATION, 11225,40.66788360353681,-73.95058920022207,ZCTA5 10004,140450.0
104,374,SMITH-9TH STREET, 11231,40.67364106090412,-73.99589172790935,ZCTA5 10004,140450.0
322,236,46 STREET STATION, 11103,40.756316952608096,-73.91352174995538,ZCTA5 10022,133208.0
324,298,STEINWAY STREET STATION, 11103,40.756987359125745,-73.9205264716827,ZCTA5 10022,133208.0
325,84,51 ST STATION, 10022,40.75710699989315,-73.97192000069981,ZCTA5 10022,133208.0
327,142,LEXINGTON AV-53 ST, 10022,40.75746830782865,-73.96907237490205,ZCTA5 10022,133208.0
332,141,5 AVE - 53 ST, 10022,40.760086832313256,-73.97524850527341,ZCTA5 10022,133208.0
342,355,5 AVENUE STATION, 10022,40.764810999755284,-73.97334700047045,ZCTA5 10022,133208.0
323,77,36TH AVENUE, 11106,40.7564420005104,-73.929861999118,ZCTA5 10022,133208.0
350,33,77 ST, 10075,40.77362000074615,-73.95987399886046,ZCTA5 10075,129594.0
260,194,CHRISTOPHER ST STATION, 10014,40.73342200104225,-74.00290599855234,ZCTA5 10014,127973.0
268,442,14 ST, 10014,40.73977666638199,-74.00257800104762,ZCTA5 10014,127973.0
249,66,67 AVENUE STATION, 11375,40.726505475813006,-73.85286048434907,ZCTA5 10014,127973.0
270,443,14 ST, 10014,40.740893000193296,-74.00168999937027,ZCTA5 10014,127973.0
250,96,HOUSTON STREET STATION, 10014,40.72825100073021,-74.00536700180581,ZCTA5 10014,127973.0
259,231,WOODHAVEN BLVD, 11373,40.73309737380972,-73.86943208612348,ZCTA5 10014,127973.0
361,85,86 STREET STATION, 10024,40.78864400073892,-73.97621799859327,ZCTA5 10024,126107.0
360,164,86 STREET STATION, 10024,40.785823046785566,-73.96882849429672,ZCTA5 10024,126107.0
357,192,79 STREET STATION, 10024,40.78393399959032,-73.97991700056134,ZCTA5 10024,126107.0
356,162,81 STREET-MUSEUM OF NATURAL HISTORY STATION, 10024,40.78134608418206,-73.97209794937208,ZCTA5 10024,126107.0
341,350,LEXINGTON AV-63 STREET SUBWAY STATION, 10065,40.76461809442373,-73.96608964413245,ZCTA5 10065,124322.0
336,48,59 ST-LEXINGTON AV STATION, 10065,40.76252600030458,-73.96796700047321,ZCTA5 10065,124322.0
337,356,59 ST-LEXINGTON AV STATION, 10065,40.762708855394564,-73.96737501711436,ZCTA5 10065,124322.0
340,354,57 STREET SUBWAY STATION, 10106,40.764565525018284,-73.98072973372129,ZCTA5 10065,124322.0
352,55,72 STREET STATION, 10023,40.77551939729258,-73.976336575218,ZCTA5 10023,123951.0
354,161,72 STREET / BROADWAY, 10023,40.77845300068614,-73.98197000159583,ZCTA5 10023,123951.0
345,93,59 ST - COLUMBUS CIRCLE, 10023,40.76824700063689,-73.98192900232715,ZCTA5 10023,123951.0
346,352,59 ST - COLUMBUS CIRCLE, 10023,40.768249531776064,-73.98164872301399,ZCTA5 10023,123951.0
348,250,ASTORIA BLVD STATION, 11102,40.770036999490856,-73.91809500109238,ZCTA5 10023,123951.0
349,87,66 ST - LINCOLN CENTER SUBWAY STATION, 10023,40.77344000052039,-73.98220899995783,ZCTA5 10023,123951.0
351,251,DITMARS BLVD STATION, 11105,40.775035666523664,-73.91203400010309,ZCTA5 10023,123951.0
344,101,68 STREET STATION, 10021,40.76814100049679,-73.96387000158042,ZCTA5 10021,123842.0
347,470,72 STREET SUBWAY STATION, 10021,40.76880251014895,-73.95836178682245,ZCTA5 10021,123842.0
343,303,30 AVENUE STATION, 11102,40.76677866673298,-73.9214790001739,ZCTA5 10021,123842.0
276,364,23 STREET STATION, 10011,40.74295431782601,-73.99276500471389,ZCTA5 10011,123208.0
275,100,VERNON BLVD - JACKSON AV, 11101,40.742625999697495,-73.95358099875249,ZCTA5 10011,123208.0
280,95,23 STREET STATION, 10011,40.744080999897506,-73.99565700164871,ZCTA5 10011,123208.0
264,67,GRAND AV-NEWTOWN STATION, 11373,40.73681341819713,-73.8772208566918,ZCTA5 10011,123208.0
265,441,14 STREET STATION, 10011,40.73774146981052,-73.99775078874782,ZCTA5 10011,123208.0
266,438,14 STREET STATION, 10011,40.737825999728116,-74.00020100063496,ZCTA5 10011,123208.0
267,440,14 STREET STATION, 10011,40.73822799969515,-73.99620899921354,ZCTA5 10011,123208.0
271,202,18 STREET STATION, 10011,40.741039999802105,-73.99787100060406,ZCTA5 10011,123208.0
273,94,HUNTERS POINT AV, 11101,40.742215999863156,-73.9489160009391,ZCTA5 10011,123208.0
274,36,ELMHURST AV, 11373,40.74237007972169,-73.88203474658641,ZCTA5 10011,123208.0
278,238,46 ST-BLISS ST STATION, 11104,40.74313200060382,-73.91843500103974,ZCTA5 10011,123208.0
279,293,40 ST - LOWERY ST STATION, 11104,40.74378100149132,-73.9240159984882,ZCTA5 10011,123208.0
286,435,23 STREET STATION, 10011,40.74590599939995,-73.99804100117201,ZCTA5 10011,123208.0
285,53,61 ST-WOODSIDE, 11377,40.745630001138395,-73.90298400173006,ZCTA5 10011,123208.0
355,450,86 ST LEXINGTON AV, 10028,40.77949199820952,-73.95558899985132,ZCTA5 10028,119203.0
353,471,86 STREET SUBWAY STATION, 10028,40.77786104333163,-73.95177090964917,ZCTA5 10028,119203.0
308,9,36 STREET STATION, 11101,40.75196004401078,-73.92901818461539,ZCTA5 10017,118469.0
307,30,GRAND CENTRAL-42 STREET STATION, 10017,40.75180742981634,-73.9767132992584,ZCTA5 10017,118469.0
311,80,GRAND CENTRAL-42 STREET STATION, 10017,40.75276866674217,-73.97918899989101,ZCTA5 10017,118469.0
306,189,111 ST, 11368,40.75172999941711,-73.85533399834884,ZCTA5 10017,118469.0
309,436,34 ST - PENN STATION, 10123,40.75228700077589,-73.99339099970578,ZCTA5 10017,118469.0
310,154,39 AVENUE STATION, 11101,40.75276306140845,-73.932851376796,ZCTA5 10017,118469.0
302,188,103 ST-CORONA PLAZA STATION, 11368,40.74986500055555,-73.86269999830412,ZCTA5 10017,118469.0
303,357,34 STREET - PENN STATION, 10120,40.75037300003949,-73.99105699913983,ZCTA5 10017,118469.0
304,102,QUEENSBORO PLAZA, 11101,40.7506356510148,-73.9401635351909,ZCTA5 10017,118469.0
305,203,GRAND CENTRAL-42 STREET STATION, 10017,40.751431000286864,-73.97604100111508,ZCTA5 10017,118469.0
272,379,23 STREET STATION, 10010,40.74130266729,-73.98934400102907,ZCTA5 10010,115084.0
269,91,23 STREET STATION, 10010,40.73986400047461,-73.98659900207888,ZCTA5 10010,115084.0
358,472,96 ST & 2 AVENUE, 10128,40.784236650177654,-73.9470660219183,ZCTA5 10128,111937.0
277,199,28 STREET SUBWAY STATION, 10016,40.743069999259035,-73.98426400110407,ZCTA5 10016,109250.0
287,31,33 STREET STATION, 10016,40.746080999091454,-73.98207600148947,ZCTA5 10016,109250.0
314,465,5 AVENUE-BRYANT PARK STATION, 10018,40.753821000648244,-73.98196299856707,ZCTA5 10018,107861.0
313,345,21 ST - QUEENSBRIDGE, 11101,40.75373927087553,-73.94193761457447,ZCTA5 10018,107861.0
312,237,NORTHERN BLVD STATION, 11377,40.752824829236076,-73.90606508052358,ZCTA5 10018,107861.0
315,59,42 ST-BRYANT PARK SUBWAY STATION, 10018,40.754184001312545,-73.98459099904711,ZCTA5 10018,107861.0
220,413,CHAMBERS ST, 10013,40.71323378962671,-74.00340673031336,ZCTA5 10013,106056.0
219,28,CHAMBERS ST, 10013,40.71306499943313,-74.0041310005885,ZCTA5 10013,106056.0
230,414,CANAL ST, 10013,40.71817387697391,-73.99982638545937,ZCTA5 10013,106056.0
229,163,75 AV, 11375,40.71804465348743,-73.83692369387157,ZCTA5 10013,106056.0
228,150,BEDFORD AV STATION, 11211,40.71717399858899,-73.95666499806525,ZCTA5 10013,106056.0
